confidence_level,metric_value,calculated_at,calculation_method,processing_time_ms,description,metric_factor,clip_id,type,platform,feature_value,file_name,feature_name,remarks,metric_name,calculation_timestamp,trustworthiness_values,module_name,quality_metadata
,0.1,,Direct mapping from MedicalVerifiabilityModule,0,,verifiability_quality,1847990052816601508,quality_metric,X,,nc_x_3_norm_proc.json,,,access_to_source_data,2024-12-27T12:34:19.931659,,,{'verifiability_quality': 0.1}
,0.0,,Certification = alpha * Education Quality + (1 - alpha) * Profession Quality,0,,alpha * Education Quality + (1 - alpha) * Profession Quality,1847990052816601508,quality_metric,X,,nc_x_3_norm_proc.json,,,certification,2024-12-27T12:34:19.935793,,,"{'education_quality': 0.0, 'profession_quality': 0.0, 'alpha': 0.6}"
,0.20402173919085137,,Confidence = 0.7 * influence + 0.30000000000000004 * Normalized Audience Size,0,,alpha * influence + (1 - alpha) * log(audience_size + 1) / log(max_audience_size + 1),1847990052816601508,quality_metric,X,,nc_x_3_norm_proc.json,,,confidence,2024-12-27T12:34:19.939936,,,"{'influence': 0.0, 'audience_size': 2513, 'normalized_audience_size': 0.6800724639695045, 'alpha': 0.7, 'max_audience_size': 100000}"
,0.08080434783817028,,trustworthiness = 0.4 * Access to Source Data + 0.4 * Certification + 0.2 * Confidence,0,,0.4 * access_to_source_data + 0.4 * certification + 0.2 * confidence,1847990052816601508,quality_metric,X,,nc_x_3_norm_proc.json,,,trustworthiness,2024-12-27T12:34:19.944464,,,"{'access_to_source_data': 0.1, 'certification': 0.0, 'confidence': 0.20402173919085137}"
,0.08080434783817028,,credibility = 0 * Trustworthiness_Path_Stability + 1 * Trustworthiness,0,,0 * trustworthiness_path_stability + 1 * trustworthiness,1847990052816601508,quality_metric,X,,nc_x_3_norm_proc.json,,trustworthiness_path_stability no encontrada; se asignó peso 0.,credibility,2024-12-27T14:05:32.728943,,,"{'trustworthiness_path_stability': 0, 'trustworthiness': 0.08080434783817028}"
0.0,,2024-12-27T12:32:55.417684,Gemini Language Model (gemini-1.5-flash),1418,Generated education based on input profile.,,1847990052816601508,generated_feature,X,No medical degree mentioned,nc_x_3_norm_proc.json,education,,,,,MedicalEducationModule,
0.1,,2024-12-27T12:32:57.066490,Gemini Language Model (gemini-1.5-flash),1639,Generated medicalVerifiability based on input profile.,,1847990052816601508,generated_feature,X,"Bajo (Ninguna universidad, hospital u otra organización reconocida mencionada en el perfil.)",nc_x_3_norm_proc.json,medicalVerifiability,,,,,MedicalVerifiabilityModule,
0.0,,2024-12-27T12:32:58.511112,Gemini Language Model (gemini-1.5-flash),1431,Generated medical profession based on input profile.,,1847990052816601508,generated_feature,X,Ninguno,nc_x_3_norm_proc.json,profession,,,,,MedicalProfessionModule,
0.0,,2024-12-27T12:32:59.824947,Gemini Language Model (gemini-1.5-flash),1308,Generated influence based on user recommendations.,,1847990052816601508,generated_feature,X,Índice de influencia no disponible.,nc_x_3_norm_proc.json,influence,,,,,MedicalInfluenceModule,
,0.0,,Direct mapping from MedicalVerifiabilityModule,0,,verifiability_quality,15hrR9GRiq,quality_metric,Facebook,,nc_fb_1_norm_proc.json,,,access_to_source_data,2024-12-27T12:34:19.948518,,,{'verifiability_quality': 0.0}
,0.08000000000000002,,Certification = alpha * Education Quality + (1 - alpha) * Profession Quality,0,,alpha * Education Quality + (1 - alpha) * Profession Quality,15hrR9GRiq,quality_metric,Facebook,,nc_fb_1_norm_proc.json,,,certification,2024-12-27T12:34:19.951738,,,"{'education_quality': 0.0, 'profession_quality': 0.2, 'alpha': 0.6}"
,0.30431287694364967,,Confidence = 0.7 * influence + 0.30000000000000004 * Normalized Audience Size,0,,alpha * influence + (1 - alpha) * log(audience_size + 1) / log(max_audience_size + 1),15hrR9GRiq,quality_metric,Facebook,,nc_fb_1_norm_proc.json,,,confidence,2024-12-27T12:34:19.955314,,,"{'influence': 0.0, 'audience_size': 118000, 'normalized_audience_size': 1.0143762564788321, 'alpha': 0.7, 'max_audience_size': 100000}"
,0.09286257538872994,,trustworthiness = 0.4 * Access to Source Data + 0.4 * Certification + 0.2 * Confidence,0,,0.4 * access_to_source_data + 0.4 * certification + 0.2 * confidence,15hrR9GRiq,quality_metric,Facebook,,nc_fb_1_norm_proc.json,,,trustworthiness,2024-12-27T12:34:19.959098,,,"{'access_to_source_data': 0.0, 'certification': 0.08000000000000002, 'confidence': 0.30431287694364967}"
,0.09286257538872994,,credibility = 0 * Trustworthiness_Path_Stability + 1 * Trustworthiness,0,,0 * trustworthiness_path_stability + 1 * trustworthiness,15hrR9GRiq,quality_metric,Facebook,,nc_fb_1_norm_proc.json,,trustworthiness_path_stability no encontrada; se asignó peso 0.,credibility,2024-12-27T14:05:32.734032,,,"{'trustworthiness_path_stability': 0, 'trustworthiness': 0.09286257538872994}"
0.0,,2024-12-27T12:33:01.133976,Gemini Language Model (gemini-1.5-flash),1296,Generated education based on input profile.,,15hrR9GRiq,generated_feature,Facebook,Ninguno,nc_fb_1_norm_proc.json,education,,,,,MedicalEducationModule,
0.0,,2024-12-27T12:33:03.082424,Gemini Language Model (gemini-1.5-flash),1936,Generated medicalVerifiability based on input profile.,,15hrR9GRiq,generated_feature,Facebook,Bajo (ninguna institución médica o universidad mencionada),nc_fb_1_norm_proc.json,medicalVerifiability,,,,,MedicalVerifiabilityModule,
0.2,,2024-12-27T12:33:04.552821,Gemini Language Model (gemini-1.5-flash),1457,Generated medical profession based on input profile.,,15hrR9GRiq,generated_feature,Facebook,Médico Integrativo,nc_fb_1_norm_proc.json,profession,,,,,MedicalProfessionModule,
0.0,,2024-12-27T12:33:05.933662,Gemini Language Model (gemini-1.5-flash),1375,Generated influence based on user recommendations.,,15hrR9GRiq,generated_feature,Facebook,No se puede determinar.,nc_fb_1_norm_proc.json,influence,,,,,MedicalInfluenceModule,
,0.2,,Direct mapping from MedicalVerifiabilityModule,0,,verifiability_quality,fb_post_1,quality_metric,Facebook,,c_fb_1_norm_proc.json,,,access_to_source_data,2024-12-27T12:34:19.963281,,,{'verifiability_quality': 0.2}
,0.92,,Certification = alpha * Education Quality + (1 - alpha) * Profession Quality,0,,alpha * Education Quality + (1 - alpha) * Profession Quality,fb_post_1,quality_metric,Facebook,,c_fb_1_norm_proc.json,,,certification,2024-12-27T12:34:19.967491,,,"{'education_quality': 1.0, 'profession_quality': 0.8, 'alpha': 0.6}"
,0.8736097165155441,,Confidence = 0.7 * influence + 0.30000000000000004 * Normalized Audience Size,0,,alpha * influence + (1 - alpha) * log(audience_size + 1) / log(max_audience_size + 1),fb_post_1,quality_metric,Facebook,,c_fb_1_norm_proc.json,,,confidence,2024-12-27T12:34:19.972025,,,"{'influence': 0.95, 'audience_size': 2997, 'normalized_audience_size': 0.6953657217184802, 'alpha': 0.7, 'max_audience_size': 100000}"
